source,destination,time,ms,labels_popped,truncated,routes
DQG,BKP,10:00,10.533,4682,0,50
JMD,ASN,14:00,4.126,5,0,0
KKET,SMRR,13:00,8.454,5756,0,50
HDP,MHQ,15:00,16.419,9777,0,50
GTM,HKD,07:00,21.017,8794,0,50
MVL,BLS,21:00,6.888,1,0,0
HVR,DES,02:00,8.452,1605,0,50
JRMA,RGDA,23:00,4.909,1,0,0
VDL,SOB,23:00,4.506,1200,0,50
MEX,SNM,12:00,4.209,1130,0,50
MRB,FBD,16:00,6.027,1164,0,50
KYQ,FDB,20:00,11.665,3586,0,50
NBG,OBR,10:00,17.578,9982,0,50
FZD,KPV,04:00,3.327,1942,0,50
RASP,DRSV,06:00,17.906,11767,0,50
BYT,GNG,02:00,62.332,23481,0,50
TLHR,KATI,01:00,9.284,2595,0,50
BNDM,KRAR,04:00,5.017,1,0,0
THDR,MALB,14:00,4.711,2070,0,50
BWN,MAKM,01:00,9.335,3630,0,50
DMC,GNC,08:00,46.847,23771,0,50
DBD,SLI,12:00,13.950,2075,0,50
MDLE,BL,12:00,16.324,3109,0,50
PVRD,BKN,21:00,8.806,1894,0,50
AJP,PTA,23:00,1.724,1,0,0
LMN,JAJ,20:00,5.651,1,0,0
MRGA,PAU,01:00,7.533,1990,0,50
AFR,NYP,09:00,10.996,2275,0,50
TP,SLB,13:00,58.004,19888,0,50
HDN,BPD,00:00,10.290,4526,0,50
MLHA,PTRU,18:00,5.174,1,0,0
SAG,JSE,03:00,25.608,8195,0,50
SRJM,LPJ,15:00,19.384,13749,0,50
CKU,SWR,17:00,7.855,1267,0,50
MYS,DVL,03:00,59.387,20318,0,50
GMS,GJN,20:00,3.249,1,0,0
COR,KOU,21:00,13.954,5356,0,50
NRA,RCF,09:00,14.630,3536,0,50
NSD,GCT,07:00,11.132,1166,0,50
MZR,CHH,03:00,28.598,10738,0,50
RAIR,INDB,11:00,16.410,5712,0,50
CSB,DDE,16:00,12.000,1711,0,50
MVI,TUP,00:00,102.736,64413,0,50
YNK,GPX,10:00,79.134,41014,0,50
KNDV,DMP,03:00,11.455,8634,0,50
KIN,WANI,20:00,13.154,3926,0,50
CSB,CQA,03:00,6.447,3084,0,50
UDR,CPK,08:00,6.110,1093,0,50
RGS,WEL,10:00,6.135,3734,0,50
SHSK,MFC,19:00,2.565,1,0,0
ALER,GND,00:00,37.535,10853,0,50
ADTP,KJN,09:00,11.037,2578,0,50
SDAH,GED,21:00,8.086,4144,0,50
ARR,BHRB,12:00,3.254,1,0,0
LS,JRL,21:00,9.625,2803,0,50
NCBD,JJK,14:00,8.105,1120,0,50
SGLA,BOF,03:00,7.347,4068,0,50
VPZ,TPU,04:00,3.801,325,0,8
PVR,KJI,22:00,4.977,1,0,0
KRH,NSGR,19:00,2.062,1,0,0
HTC,BKL,22:00,5.065,1,0,0
KEA,DXN,15:00,3.678,1,0,0
GTL,CWA,16:00,37.189,8945,0,50
NAK,REWA,22:00,5.227,1,0,0
TNGL,YT,04:00,81.045,31990,0,50
ANVT,RURA,05:00,18.837,2526,0,50
PRLI,GJS,01:00,32.068,14646,0,50
JOL,JITE,05:00,8.655,1351,0,50
ETUE,CPK,07:00,5.032,1,0,0
UJH,VYA,22:00,4.557,1,0,0
NGAN,AWR,17:00,7.084,1,0,0
GYN,VPT,09:00,11.049,3409,0,50
JAJ,DIA,19:00,13.074,4283,0,50
NANA,KGG,15:00,7.033,1,0,0
SOJN,SL,04:00,14.810,5169,0,50
PRT,TWB,13:00,2.992,1,0,0
DAVM,NKB,07:00,4.752,1,0,0
DWV,RAH,14:00,10.055,1519,0,50
JMK,KRMI,14:00,11.433,3682,0,50
BRG,KJ,05:00,14.408,2055,0,50
PSB,GADJ,05:00,11.845,1610,0,50
TLHD,BBSN,05:00,146.888,57994,0,50
GDO,FTP,11:00,5.545,10,0,1
IAA,BXR,15:00,15.218,4692,0,50
HNA,BNV,09:00,16.030,6918,0,50
UJ,BBM,20:00,7.798,2327,0,50
MLTR,MKDD,21:00,10.059,1675,0,50
NRPA,BTO,00:00,31.797,9105,0,50
MPA,GYN,15:00,263.977,127289,1,16
RTG,KATL,01:00,5.632,1,0,0
PDKN,ETR,09:00,9.561,4485,0,50
MME,KTWS,06:00,4.194,1,0,0
ADR,TPJ,16:00,8.225,1484,0,50
BQG,NMK,19:00,10.625,3291,0,50
ASAF,KUL,08:00,20.439,10578,0,50
PVD,VRLR,07:00,5.874,1799,0,50
KBL,KXJ,12:00,11.038,5831,0,50
SMET,TENI,11:00,95.962,48268,0,50
PLD,HRS,13:00,5.515,1,0,0
LONI,RUR,17:00,4.345,1,0,0
SNKL,KIT,10:00,22.375,7285,0,50
TRT,KON,07:00,2.367,1,0,0
JI,KOO,23:00,5.944,1,0,0
RAJP,PBE,16:00,11.226,3435,0,50
BHI,SNI,20:00,4.994,1,0,0
YPD,KPQ,10:00,17.061,10314,0,50
BE,BMO,13:00,25.057,11742,0,50
ANND,KAPG,17:00,31.381,12300,0,50
SRGH,SPTR,04:00,18.954,11346,0,50
DBF,SFY,03:00,189.015,92082,0,37
MDDP,BD,01:00,39.009,7905,0,50
SELU,VKR,07:00,43.050,18878,0,50
KWGN,JPL,06:00,28.229,10569,0,50
KTSH,KNGR,20:00,3.689,1,0,0
SML,NIR,07:00,15.820,6039,0,50
MURD,CLDY,04:00,9.559,2640,0,50
BPR,KWO,07:00,14.622,4345,0,50
PKQ,RMP,23:00,4.365,1,0,0
KNP,COM,05:00,136.671,56265,1,6
AEL,BWT,01:00,7.441,1141,0,50
GTNR,J,22:00,5.043,1,0,0
SDS,HCNR,00:00,37.416,34674,0,50
WKI,KLMR,11:00,23.237,9496,0,50
GRMR,CDG,01:00,18.108,7403,0,50
SUD,KKN,11:00,8.329,432,0,50
DNK,PGW,08:00,9.025,1175,0,50
WAB,PEP,01:00,33.583,17616,0,50
LBI,BJRI,02:00,3.507,1,0,0
PLP,USL,06:00,8.808,2333,0,50
NDAE,CHH,18:00,8.061,1374,0,50
ASK,BGU,00:00,2.554,1,0,0
AWR,RJT,00:00,67.631,29605,0,50
BRGW,CJN,11:00,5.159,1,0,0
JWS,MRPR,22:00,4.205,1,0,0
KEA,KLNK,00:00,5.079,1,0,0
FZR,RNIS,13:00,57.135,15124,0,50
